,School,Enrollment,Identified,Breakfast,Lunch,group
684,13801,361.333333333,185.333333333,93859.758871,125961.130255,3.0
685,13804,122.0,36.0,18236.7459677,14664.975,2.0
686,13805,84.0,41.0,12509.5959677,12229.6766129,3.0
687,13808,468.5,44.5,2517.87459677,15145.0975456,1.0
688,13837,335.0,152.0,19741.3125,48964.8931452,3.0
689,13854,196.5,111.5,14858.1193548,26497.3382106,3.0
690,13856,196.5,111.5,5718.75241935,24697.1584843,1.0
691,13857,195.0,114.0,48812.3370968,42824.8620968,3.0
692,13865,349.0,164.0,22281.5806452,40403.0484966,2.0
693,13889,216.0,51.0,9836.36612903,17949.9748556,1.0
694,13893,236.5,45.0,5065.14072581,16630.6548387,1.0
695,13940,156.0,29.0,0.0,13019.45434,1.0
696,13950,90.3720930233,33.1162790698,453.469354839,8994.7151963,1.0
697,13952,0.0,0.0,825.762096774,2520.67379032,
698,13969,77.0,15.0,5408.04193548,8553.63568548,1.0
699,13983,0.0,0.0,965.721774194,1833.47177419,
700,13984,10.9142857143,3.02857142857,638.216129032,708.195967742,1.0
701,13988,0.0,0.0,1325.41814516,1728.50201613,
702,14018,176.0,125.0,18912.7512097,26380.9995968,1.0
703,14031,584.0,161.0,29881.391129,69913.1916608,1.0
704,14037,145.0,90.0,26877.8564516,26945.9788329,3.0
705,14038,145.0,90.0,2407.30645161,2854.25909656,1.0
706,14049,245.0,144.0,5035.74919355,11402.5149194,1.0
707,14110,499.0,62.0,21947.0770161,37211.9135952,1.0
708,14147,313.0,198.0,23289.2903226,40850.546836,3.0
709,14182,519.0,248.0,21774.9266129,61900.3310512,2.0
710,14196,345.0,260.0,20866.5883065,43481.122047,3.0
711,14324,175.0,67.0,0.0,5626.2375,1.0
712,14414,608.0,231.0,44596.7516129,56215.6844559,1.0
713,14449,714.0,168.0,6407.35403226,46954.5948088,1.0
714,14513,876.0,487.0,8520.74516129,44042.3111951,1.0
715,14547,300.0,177.0,8552.9358871,27136.9318116,1.0
716,14553,660.0,343.0,1736.89959677,25212.0471892,1.0
717,14558,552.0,264.0,2279.94314516,19332.9288628,1.0
718,14574,844.0,517.0,5091.73306452,22361.4284501,1.0
719,14577,422.0,258.0,8625.71491935,21051.6153814,1.0
720,14578,236.0,154.0,1636.12862903,12490.5807564,1.0
721,14586,510.0,364.0,4114.81451613,16836.5135688,1.0
722,14588,514.0,259.0,5366.05403226,17249.6097209,1.0
723,14614,376.0,210.0,7289.1,28810.1092907,1.0
724,14632,106.0,69.0,646.613709677,6895.81330645,1.0
725,14689,322.0,184.0,25804.3657258,35568.4193548,1.0
726,14850,401.0,207.0,2032.21451613,17265.2212142,1.0
727,14865,966.0,506.0,8187.64112903,72745.9009817,1.0
728,14874,232.0,138.0,17462.7689516,29583.9602512,1.0
729,14885,163.0,90.0,15627.8975806,44729.7133065,3.0
730,14917,200.0,38.0,11321.3383065,20201.5163852,1.0
731,14973,31.6666666667,21.2666666667,731.989112903,731.989112903,1.0
732,14984,10.9142857143,3.02857142857,1307.2233871,1297.42620968,1.0
733,15024,669.0,464.0,64199.5040323,92157.8491935,3.0
734,15029,960.0,57.0,9755.18951613,71825.6811134,1.0
735,15032,511.0,172.0,18876.3616935,47487.9164712,3.0
736,15038,546.0,191.0,39629.5826613,56772.4220459,1.0
737,15039,416.0,37.0,1693.51209677,18754.7240103,1.0
738,15058,489.5,22.0,6936.4016129,63931.48125,1.0
739,15094,1412.0,802.0,96898.2834677,177466.071774,3.0
740,15107,566.0,14.0,4313.55725806,38600.1792339,1.0
741,15118,283.0,16.0,1441.58467742,16274.6862399,1.0
742,15154,530.0,45.0,6191.81612903,36976.7008065,2.0
743,15172,591.0,300.0,23657.3842742,71823.4498473,1.0
744,15176,192.0,163.0,14608.991129,25598.625,2.0
745,15242,661.0,102.0,17069.4822581,35911.6423109,1.0
746,15261,773.0,193.0,31332.7729839,68662.6374025,1.0
747,15293,526.0,234.0,9279.3266129,48476.2314012,1.0
748,15321,1450.0,48.0,5773.33669355,70585.5565092,1.0
749,15418,313.0,28.0,5217.69677419,15790.86313,1.0
750,15423,138.0,96.0,5132.32137097,7544.9772881,1.0
751,15448,654.0,289.0,5482.22056452,25414.4531703,1.0
752,15462,404.0,218.0,1086.08709677,2686.43411535,1.0
753,15463,218.0,106.0,950.326209677,9934.68387097,1.0
754,15464,589.0,256.0,5375.85120968,15848.0131894,1.0
755,15516,355.0,211.0,7485.04354839,45716.6455822,2.0
756,15527,159.0,4.0,11100.2020161,3749.51975806,1.0
757,15528,90.3720930233,33.1162790698,2.79919354839,811.655248071,1.0
758,15530,237.0,125.0,1406.59475806,8955.49237377,1.0
759,15532,18.0,1.0,11.1967741935,137.160483871,1.0
760,15551,90.3720930233,33.1162790698,4391.93467742,6762.8516129,1.0
761,15554,307.0,98.5,16386.4790323,37285.7485774,1.0
762,15557,843.0,355.0,4204.38870968,44790.7670768,1.0
763,15567,1214.0,690.0,3844.69233871,73964.6383506,1.0
764,15570,180.0,109.0,7368.87701613,22875.5670019,3.0
765,15586,568.0,315.0,5970.67983871,18712.699029,1.0
766,15684,655.0,153.0,2601.85040323,26043.079305,1.0
767,15802,31.6666666667,21.2666666667,0.0,994.869980328,1.0
768,15828,340.0,210.0,1331.01653226,2106.0752978,1.0
769,15853,328.0,202.0,4585.07903226,25115.1067265,1.0
770,15878,498.0,150.0,8349.99435484,51403.7911801,1.0
771,15895,197.0,118.0,659.210080645,5130.77444822,1.0
772,15902,155.0,39.0,4480.10927419,11570.1399597,1.0
773,15928,274.0,19.0,0.0,19082.887559,1.0
774,15984,10.9142857143,3.02857142857,717.993145161,741.786290323,1.0
775,15987,0.0,0.0,871.948790323,1452.78145161,
776,16005,217.0,160.0,18350.1133065,28102.503629,3.0
777,16025,118.0,91.0,8107.8641129,17534.1483871,3.0
778,16028,161.0,130.0,18427.091129,23602.8,1.0
779,16081,314.0,251.0,39640.7794355,45831.1959677,3.0
780,16243,251.0,203.0,37726.1310484,37142.4991935,3.0
781,16262,380.0,267.0,20133.1995968,42027.0919355,3.0
782,16308,344.0,250.0,11918.966129,54190.9875,3.0
783,16309,207.0,142.0,18257.7399194,29049.6963466,3.0
784,16335,291.0,219.0,15517.3294355,32233.8009997,3.0
785,16360,306.0,207.0,15934.4092742,43721.820287,1.0
786,16406,210.0,148.0,47433.7342742,54230.1762097,3.0
787,16408,210.0,148.0,3732.72459677,4743.23346774,1.0
788,16508,391.0,243.0,13766.433871,23470.9497509,1.0
789,16627,308.0,207.0,14067.3471774,36736.616129,1.0
790,16628,239.0,101.0,13549.496371,23507.7004045,1.0
791,16669,233.0,164.0,8571.13064516,5403.1397945,1.0
792,16818,333.0,181.0,14306.6782258,48438.685523,2.0
793,16824,376.0,222.0,47180.4072581,52092.266597,3.0
794,16838,662.0,307.5,62925.8709677,70829.5314884,2.0
795,16860,389.0,186.0,70326.9387097,74171.6310484,3.0
796,16861,389.0,186.0,20004.4366935,44614.946371,1.0
797,16865,256.0,168.0,12422.8209677,11637.8493414,1.0
798,16882,639.0,452.0,29593.0741935,72608.2814516,3.0
799,16951,90.3720930233,33.1162790698,1907.65040323,0.0,1.0
800,16959,196.0,91.0,46.1866935484,2975.54274194,1.0
801,17012,254.0,185.0,12294.0580645,32042.3685484,3.0
802,17091,330.0,206.0,26672.1157258,51190.2520161,3.0
803,17092,459.0,286.0,14036.5560484,73544.6116935,1.0
804,17122,561.0,215.0,7107.15241935,26663.7456835,1.0
805,17138,592.0,363.0,23914.9100806,68158.9633065,1.0
806,17161,376.0,230.0,13563.4923387,39061.2648604,1.0
807,17170,277.0,96.0,29727.4354839,28063.1617091,2.0
808,17189,1053.0,619.0,28805.1012097,137979.247984,3.0
809,17191,187.0,152.0,14984.0830645,26589.5395161,3.0
810,17210,548.0,360.0,34980.1221774,67971.4756552,3.0
811,17221,353.0,224.0,9960.93024194,35275.8805334,2.0
812,17241,545.0,345.0,21615.3725806,67157.7559224,1.0
813,17316,497.0,244.0,27986.3370968,55837.3075881,3.0
814,17333,237.5,137.5,29373.3375,37934.6709677,1.0
815,17357,421.0,250.0,44465.1895161,52821.5857303,3.0
816,17375,429.0,287.0,25444.6693548,59600.4290323,3.0
817,17382,420.0,206.0,6628.49032258,32048.7542087,1.0
818,17397,210.0,123.0,24372.5782258,30982.8737903,3.0
819,17398,333.0,268.0,50915.9310484,53407.2133065,3.0
820,17399,470.0,303.0,25535.6431452,64851.9979483,1.0
821,17408,196.0,75.0,951.725806452,7477.50890931,1.0
822,17433,237.5,137.5,7853.1375,14816.5426733,1.0
823,17467,193.0,86.0,9.79717741935,10445.4044718,1.0
824,17515,543.0,203.0,7527.03145161,29826.6201298,1.0
825,17528,206.0,86.0,3897.87701613,12583.0387263,1.0
826,17531,360.0,155.0,5748.14395161,15213.5476485,1.0
827,17532,473.0,336.0,25549.6391129,58105.0517717,1.0
828,17533,224.0,111.0,4333.1516129,12150.7676527,1.0
829,17536,433.0,229.0,3374.42782258,18043.329017,1.0
830,17538,1217.0,381.0,8548.73709677,35774.7373155,1.0
831,17540,313.0,188.0,6600.4983871,17551.0286219,1.0
832,17541,385.0,181.0,3207.87580645,8497.87145927,1.0
833,17546,452.0,209.0,8308.00645161,19598.8675926,1.0
834,17547,383.0,192.0,5466.825,20857.2438039,1.0
835,17549,1201.0,532.0,49076.8608871,90678.000055,1.0
836,17551,381.0,231.0,5128.12258065,25005.0893318,1.0
837,17558,242.0,147.0,4174.99717742,17690.2985456,1.0
838,17573,97.0,50.0,172.150403226,6606.93653226,1.0
839,17663,0.0,0.0,2144.18225806,3857.28870968,
840,17692,331.0,187.0,23651.7858871,37634.1171468,2.0
841,17805,381.0,164.0,18406.0971774,39125.6936861,1.0
842,17834,163.0,90.0,12830.103629,41090.7616935,3.0
843,17845,365.0,165.0,3247.06451613,21019.5703191,1.0
844,17847,0.0,0.0,1699.11048387,2606.04919355,
845,17850,508.0,301.0,29303.3576613,55432.6295414,1.0
846,17853,116.0,38.0,16581.0229839,16772.5262186,2.0
847,17854,339.0,137.666666667,11044.2181452,39062.7459677,1.0
848,17858,520.0,249.0,25160.5512097,45277.7181121,1.0
849,17876,65.0,32.0,6642.48629032,8547.92533065,3.0
850,17879,339.0,137.666666667,52042.6064516,63358.346371,3.0
851,17880,339.0,137.666666667,13725.8455645,55419.8334677,2.0
852,17882,421.0,250.0,5861.51129032,35220.0228291,1.0
853,17884,31.6666666667,21.2666666667,1333.81572581,3106.41447157,2.0
854,17886,146.0,73.0,8702.69274194,17809.2813346,2.0
855,17912,662.0,307.5,21816.9145161,46479.2092742,1.0
856,17941,403.0,206.0,49253.2100806,48673.7770161,3.0
857,17947,247.0,66.0,4211.38669355,18468.4958669,1.0
858,17951,261.0,70.0,3981.85282258,29378.4834922,1.0
859,17956,374.0,156.0,23888.3177419,43126.0035426,1.0
860,17970,77.0,31.0,1766.29112903,12227.9404042,2.0
861,17973,90.3720930233,33.1162790698,1256.83790323,1255.43830645,1.0
862,17981,137.0,24.0,4348.54717742,15135.9070161,1.0
863,17982,0.0,0.0,2331.72822581,3812.5016129,
864,17984,10.9142857143,3.02857142857,734.788306452,751.278605078,1.0
865,17985,10.9142857143,3.02857142857,474.463306452,341.986621686,1.0
866,18002,42.0,19.0,4540.29193548,3805.60730287,2.0
867,18035,416.333333333,148.0,8608.91975806,21434.8245968,1.0
868,18066,793.0,295.0,32886.3254032,92087.7010642,1.0
869,18135,308.5,171.0,24960.408871,64772.168936,3.0
870,18208,448.0,229.0,23462.8403226,59964.3241935,3.0
871,18233,494.0,239.0,47503.7141129,68024.4006353,3.0
872,18235,416.333333333,148.0,19693.7262097,75293.1987912,2.0
873,18244,561.0,281.0,30782.7314516,72418.9175294,1.0
874,18268,417.0,244.0,30624.5770161,54912.9049289,1.0
875,18272,489.0,359.0,55285.4721774,66841.9427419,2.0
876,18276,671.0,300.0,79860.9919355,89441.2318548,3.0
877,18279,460.0,219.0,25215.1354839,63586.4806452,3.0
878,18379,258.0,115.0,35306.2282258,30680.4454031,1.0
879,18517,361.333333333,185.333333333,31036.0584677,20533.8230196,1.0
880,18564,715.0,289.0,13248.5830645,44131.578634,1.0
